,chembl_id,molregno,chembl-name,smiles
11769,CHEMBL441343,13633,PARABEN,O=C(O)c1ccc(O)cc1
11819,CHEMBL441765,13693,U-50488 METHANE SULFONATE,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1
12394,CHEMBL428690,14366,ALVOCIDIB,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
12435,CHEMBL14710,14415,,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCC#N)c2ccccc21
12446,CHEMBL429613,14426,,N#CCCn1c(Cn2c(=O)n(-c3ccccc3)c3ccccc32)nc2ccccc21
12447,CHEMBL14777,14427,,CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCC#N)c2ccccc21
12451,CHEMBL418539,14431,,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCC(C)C)c2ccccc21
12460,CHEMBL107,14440,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
12477,CHEMBL277331,14459,,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCCO)c2ccccc21
12479,CHEMBL14821,14461,,CCn1c(=O)n(Cc2nc3ccccc3n2CCCO)c2ccccc21
12480,CHEMBL279576,14462,,CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(S(=O)(=O)N(C)C)cc3)c3ccccc32)nc2ccccc21
12512,CHEMBL14480,14499,,CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCCCCCC#N)c2ccccc21
12522,CHEMBL15109,14510,,CC(C)CCn1c(Cn2c(=O)n(S(C)(=O)=O)c3ccccc32)nc2ccccc21
12535,CHEMBL429040,14526,,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCCCCC#N)c2ccccc21
12538,CHEMBL280099,14529,,O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3
12578,CHEMBL280443,14576,,CC1(CCn2c(Cn3c(=O)n(Cc4ccc(O)cc4)c4ccccc43)nc3ccccc32)N=N1
12701,CHEMBL14699,14709,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCOCC1
12713,CHEMBL14564,14722,,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCC(C)=O)c2ccccc21
12774,CHEMBL553,14785,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
12791,CHEMBL15042,14802,,CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(S(C)(=O)=O)cc3)c3ccccc32)nc2ccccc21
12794,CHEMBL554,14805,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
