,compound_id,cell_id,active
91204,553934,308,-1
91253,6267,308,-1
91254,6235,308,-1
91255,6208,308,-1
91256,6240,308,-1
91257,6266,308,-1
91741,149954,496,-1
91742,149945,496,-1
91743,150351,496,-1
91744,149458,496,-1
91745,150142,496,-1
91746,149985,496,-1
91747,150051,496,-1
91748,150018,496,-1
91749,149962,496,-1
91750,150140,496,-1
91751,149987,496,-1
91752,149986,496,-1
91753,150252,603,-1
91754,149944,603,-1
92559,193988,308,-1
93105,1367951,308,-1
93106,16669,308,-1
93108,16670,308,-1
93111,1384367,308,-1
93148,41926,308,-1
93318,225570,308,-1
93319,225741,308,-1
94395,294685,825,-1
94396,1546130,825,-1
94406,365538,726,-1
94407,107119,726,-1
94663,263985,662,-1
94930,13494,1133,-1
95876,118110,1117,-1
95968,82524,538,-1
95969,37123,538,-1
95970,82524,496,-1
95971,37123,496,-1
95985,150351,538,-1
95986,150018,538,-1
95987,149962,538,-1
95988,150140,538,-1
95991,149914,603,-1
96028,84677,394,-1
96029,84672,394,-1
96030,84715,394,-1
96031,84087,394,-1
96189,136246,756,-1
96190,136285,756,-1
96191,280182,756,-1
96192,279678,756,-1
96193,118069,756,-1
96537,277701,489,-1
96538,277633,489,-1
96541,278119,489,-1
96867,210009,652,-1
97015,48400,652,-1
97200,259036,617,-1
97201,258962,617,-1
97299,138053,503,-1
97329,81072,518,-1
97330,81200,518,-1
97332,81199,518,-1
97333,81278,518,-1
97334,81248,518,-1
97335,81276,518,-1
97336,81105,518,-1
97337,81679,518,-1
97338,81716,518,-1
97339,80908,518,-1
97340,80910,518,-1
97341,80909,518,-1
97342,29061,518,-1
97343,81640,518,-1
97344,81247,518,-1
97345,81607,518,-1
97346,81073,518,-1
97437,138436,800,-1
97438,138001,800,-1
98290,177954,473,-1
98291,177973,473,-1
98292,177861,473,-1
98293,177952,473,-1
98294,177953,473,-1
98295,177804,473,-1
98296,178542,473,-1
98297,177955,473,-1
98298,177805,473,-1
98299,177620,473,-1
98300,177695,473,-1
98488,552681,646,-1
98840,192102,506,-1
98851,192102,619,-1
98895,133140,472,-1
99089,425312,474,-1
99287,85791,474,-1
100646,199462,656,-1
100647,200314,656,-1
100648,200315,656,-1
100838,286666,691,-1
101382,199462,324,-1
101383,200314,324,-1
101384,200315,324,-1
101751,1633350,655,-1
102256,18541,655,-1
102849,191389,899,-1
102850,191420,899,-1
102851,190813,899,-1
102852,191387,899,-1
102853,190806,899,-1
102854,190779,899,-1
102855,190778,899,-1
102856,190872,899,-1
102882,191389,839,-1
102883,191420,839,-1
102884,190813,839,-1
102885,191387,839,-1
102886,190806,839,-1
102887,190779,839,-1
102888,190778,839,-1
102889,190872,839,-1
102908,191389,910,-1
102909,191420,910,-1
102910,190779,910,-1
102911,190872,910,-1
102943,14495,1758,-1
103743,158795,503,-1
103782,275284,503,-1
103942,143265,503,-1
103943,142979,503,-1
103944,143124,503,-1
103945,142822,503,-1
103946,143112,503,-1
103947,143290,503,-1
103948,141493,503,-1
103949,142431,503,-1
103950,141462,503,-1
103951,143041,503,-1
103952,143266,503,-1
103953,142615,503,-1
103954,143255,503,-1
103955,143113,503,-1
103956,142287,503,-1
104331,1355737,503,-1
104332,95450,503,-1
104333,27254,503,-1
104366,37286,503,-1
104367,37287,503,-1
106675,55566,655,-1
106685,15378,655,-1
106877,1633355,655,-1
107723,107253,324,-1
107724,107075,324,-1
107725,107833,324,-1
107726,107797,324,-1
107727,106723,324,-1
107728,107798,324,-1
107729,107710,324,-1
107730,107747,324,-1
107732,107182,324,-1
107734,106718,324,-1
107735,107232,324,-1
112706,1387301,691,-1
112707,54241,691,-1
112708,605453,691,-1
112709,1797646,691,-1
112711,1386800,691,-1
113343,208112,691,-1
113344,208195,691,-1
113444,269956,691,-1
114339,207941,691,-1
114437,35872,691,-1
114438,35857,691,-1
114767,1799081,691,-1
114768,1799084,691,-1
114803,550415,691,-1
114804,543861,691,-1
114805,543784,691,-1
114806,550678,691,-1
114807,543822,691,-1
114808,32966,691,-1
114887,543819,691,-1
114888,32338,691,-1
114889,32278,691,-1
114890,543816,691,-1
114891,543808,691,-1
114892,543856,691,-1
114893,33170,691,-1
114894,550537,691,-1
114895,543778,691,-1
114896,543837,691,-1
114897,543835,691,-1
114898,543801,691,-1
114899,32999,691,-1
115109,76124,691,-1
115110,75796,691,-1
115111,75847,691,-1
115112,75267,691,-1
115213,1633356,691,-1
115214,605837,691,-1
115259,98844,691,-1
115370,123912,691,-1
115641,67690,691,-1
115676,50915,691,-1
115677,641090,691,-1
115678,641092,691,-1
115691,605625,691,-1
116741,123684,691,-1
116835,67019,691,-1
116974,1633335,691,-1
116975,157840,691,-1
116976,157975,691,-1
118457,1633355,691,-1
118863,1826154,691,-1
118912,6267,691,-1
118913,6208,691,-1
118914,6266,691,-1
119068,92109,691,-1
119069,92485,691,-1
119115,110624,691,-1
119116,110561,691,-1
119117,111440,691,-1
119118,110625,691,-1
119119,111195,691,-1
119120,111041,691,-1
119206,276762,691,-1
119207,276632,691,-1
119208,276633,691,-1
119209,1632861,691,-1
119210,1632862,691,-1
119211,276631,691,-1
119518,35872,204,-1
119519,35857,204,-1
119571,608515,1097,-1
120472,214109,692,-1
120474,214323,692,-1
120475,1352914,692,-1
120476,214549,692,-1
120477,27112,692,-1
120734,6282,428,-1
121033,190926,803,-1
121034,190972,803,-1
121035,189929,803,-1
121036,190583,803,-1
121037,190584,803,-1
121038,191072,803,-1
121039,190287,803,-1
121040,190009,803,-1
121041,190010,803,-1
121042,190582,803,-1
121043,190899,803,-1
121044,190890,803,-1
121045,190011,803,-1
121046,190383,803,-1
121047,190323,803,-1
121083,96335,803,-1
121084,95755,803,-1
121085,95756,803,-1
121129,104626,803,-1
121130,105822,803,-1
121131,104738,803,-1
121236,6267,307,-1
121237,6208,307,-1
121238,6266,307,-1
121696,223708,1094,-1
121697,223826,1094,-1
121698,223707,1094,-1
121699,223627,1094,-1
122016,1633355,928,-1
122124,70931,934,-1
122361,210797,330,-1
122522,283229,330,-1
122523,27307,330,-1
122524,283574,330,-1
122525,283198,330,-1
122576,1590532,691,-1
122884,15335,693,-1
122885,15378,693,-1
123310,425312,512,-1
124075,195487,691,-1
124076,195623,691,-1
124077,195853,691,-1
124836,127016,577,-1
124837,71017,577,-1
124838,71066,577,-1
124839,177478,577,-1
124840,71063,577,-1
124841,126883,577,-1
124915,56527,491,-1
124916,57225,491,-1
124917,56838,491,-1
124918,57223,491,-1
124919,57224,491,-1
124920,56839,491,-1
124921,56525,491,-1
124922,57401,491,-1
124955,203552,491,-1
125000,552399,491,-1
125343,47271,325,-1
125607,141786,325,-1
126281,138436,693,-1
126282,138001,693,-1
126404,62681,516,-1
126585,283393,491,-1
126586,283394,491,-1
126587,283938,491,-1
126973,1633355,693,-1
128173,158898,491,-1
128316,171950,491,-1
128317,157738,491,-1
128333,283229,491,-1
